Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing,Council Districts,Councils,Communities,Zip Codes,Municipalities
A515839,OWNER SUR,2025-02-15T00:00:00,DUTCHESS,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515839&location=MONT,NA,NA,NA,NA,NA,NA
A528347,RETURN,2025-02-28T00:00:00,*LOOKER,DOG,10 MONTHS,LARGE,TAN,GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528347&location=MONT,NA,NA,NA,NA,NA,NA
A363255,OWNER SUR,2025-02-21T00:00:00,LUANNE,DOG,12 YEARS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A363255&location=MONT,NA,NA,NA,NA,NA,NA
A528307,STRAY,2025-02-17T00:00:00,*SUBURBAN,DOG,1 YEAR 1 MONTH,LARGE,BLACK / WHITE,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528307&location=MONT,"0 LOCKWOOD DR, SILVER SPRING MD 20901",NA,NA,NA,NA,NA
A526957,STRAY,2024-12-30T00:00:00,*BIG CHEESE,OTHER,NO AGE,SMALL,BLACK / WHITE,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526957&location=MONT,"22700 CLARKSBURG RD, CLARKSBURG MD 20871",2,2,50,44,1
A526236,STRAY,2024-12-04T00:00:00,*PAWLE,DOG,1 YEAR 1 MONTH,MED,TRICOLOR,SHIBA INU / FEIST,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526236&location=MONT,"0 STEWART LN, SILVER SPRING MD 20904",NA,NA,NA,NA,NA
A527908,STRAY,2025-01-31T00:00:00,*MOO MOO,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527908&location=MONT,"9400 COLLETTE WAY, MONTGOMERY VILLAGE MD 20886",2,2,38,28,1
A527692,STRAY,2025-01-25T00:00:00,*CHOTSO,DOG,4 YEARS,LARGE,TAN / BLACK,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527692&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904",5,5,18,12,1
A527957,STRAY,2025-02-03T00:00:00,*DALMATIAN,OTHER,1 YEAR 1 MONTH,MED,WHITE / BLACK,REX,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527957&location=MONT,"700 QUINCE ORCHARD BLVD, GAITHERSBURG MD 20878",3,3,36,33,21
A527550,STRAY,2025-01-20T00:00:00,*MATILDA,DOG,3 YEARS,LARGE,BLUE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527550&location=MONT,"2000 QUEENSGUARD RD, SILVER SPRING MD 20906",4,4,57,6,1
A525829,STRAY,2024-11-19T00:00:00,*RADAR,DOG,2 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,"7200 PHELPS HILL CT, DERWOOD MD 20855",4,4,55,51,1
A527917,STRAY,2025-02-01T00:00:00,*KISS,DOG,5 YEARS,LARGE,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527917&location=MONT,"2200 FAIRLAND RD, SILVER SPRING MD 20904",5,5,53,12,1
A526414,STRAY,2024-12-09T00:00:00,*MIDNIGHT,DOG,1 YEAR 3 MONTHS,LARGE,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526414&location=MONT,"12400 GREAT PARK CIR, GERMANTOWN MD 20876",2,2,39,36,1
A528032,STRAY,2025-02-05T00:00:00,*YUKI,DOG,2 YEARS,LARGE,WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528032&location=MONT,"4600 FALCON ST, ROCKVILLE MD 20853",4,4,61,58,1
A527693,STRAY,2025-01-25T00:00:00,*JELLO,DOG,3 YEARS,LARGE,BRINDLE / BROWN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527693&location=MONT,"11500 LOCKWOOD DR, SILVER SPRING MD 20904",5,5,18,12,1
A528240,STRAY,2025-02-14T00:00:00,SMOKEY,DOG,8 YEARS,LARGE,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528240&location=MONT,"8300 SLIGO CREEK PKWY, TAKOMA PARK MD 20912",5,5,4,3062,11
A528270,STRAY,2025-02-15T00:00:00,*BE MINE,DOG,1 YEAR 1 MONTH,MED,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528270&location=MONT,"MAPLE AVE & RITCHIE AVE, TAKOMA PARK MD 20912",NA,NA,NA,NA,NA
A524170,OWNER SUR,2024-10-01T00:00:00,CUPCAKE,OTHER,5 YEARS,LARGE,BLACK,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524170&location=MONT,NA,NA,NA,NA,NA,NA
A517695,OWNER SUR,2024-10-26T00:00:00,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,NA,NA,NA,NA,NA,NA
A525282,OWNER SUR,2024-11-01T00:00:00,PETALS,DOG,5 YEARS,MED,TAN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525282&location=MONT,NA,NA,NA,NA,NA,NA
A524293,OWNER SUR,2024-10-05T00:00:00,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,NA,NA,NA,NA,NA,NA
